<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230921;100200;94729.0000000;94759.0000000;94660.0000000;94668.0000000;3011
20230921;100300;94662.0000000;94687.0000000;94635.0000000;94682.0000000;1680
20230921;100400;94687.0000000;94697.0000000;94633.0000000;94636.0000000;1093
20230921;100500;94640.0000000;94723.0000000;94634.0000000;94699.0000000;2260
20230921;100600;94700.0000000;94702.0000000;94664.0000000;94672.0000000;817
20230921;100700;94675.0000000;94723.0000000;94667.0000000;94723.0000000;1045
20230921;100800;94723.0000000;94829.0000000;94723.0000000;94828.0000000;2578
20230921;100900;94829.0000000;94878.0000000;94828.0000000;94839.0000000;2765
20230921;101000;94845.0000000;94875.0000000;94831.0000000;94852.0000000;1302
20230921;101100;94853.0000000;94871.0000000;94850.0000000;94858.0000000;1350
20230921;101200;94858.0000000;94865.0000000;94822.0000000;94822.0000000;875
20230921;101300;94821.0000000;94826.0000000;94754.0000000;94759.0000000;1834
20230921;101400;94759.0000000;94800.0000000;94755.0000000;94798.0000000;1507
20230921;101500;94798.0000000;94804.0000000;94765.0000000;94773.0000000;1341
20230921;101600;94768.0000000;94771.0000000;94750.0000000;94750.0000000;1068
20230921;101700;94751.0000000;94772.0000000;94749.0000000;94767.0000000;1226
20230921;101800;94768.0000000;94774.0000000;94744.0000000;94755.0000000;1656
20230921;101900;94755.0000000;94774.0000000;94752.0000000;94773.0000000;910
20230921;102000;94773.0000000;94774.0000000;94728.0000000;94728.0000000;1152
20230921;102100;94733.0000000;94741.0000000;94706.0000000;94730.0000000;1567
20230921;102200;94731.0000000;94743.0000000;94722.0000000;94729.0000000;571
20230921;102300;94728.0000000;94746.0000000;94718.0000000;94742.0000000;667
20230921;102400;94743.0000000;94750.0000000;94712.0000000;94749.0000000;5459
20230921;102500;94745.0000000;94745.0000000;94684.0000000;94689.0000000;11318
20230921;102600;94694.0000000;94699.0000000;94681.0000000;94696.0000000;771
20230921;102700;94697.0000000;94697.0000000;94685.0000000;94691.0000000;885
20230921;102800;94690.0000000;94699.0000000;94678.0000000;94693.0000000;738
20230921;102900;94698.0000000;94700.0000000;94690.0000000;94699.0000000;2435
20230921;103000;94699.0000000;94720.0000000;94651.0000000;94670.0000000;7015
20230921;103100;94671.0000000;94674.0000000;94625.0000000;94658.0000000;1236
20230921;103200;94657.0000000;94669.0000000;94637.0000000;94638.0000000;927
20230921;103300;94643.0000000;94692.0000000;94641.0000000;94675.0000000;2048
20230921;103400;94682.0000000;94682.0000000;94625.0000000;94625.0000000;3440
20230921;103500;94626.0000000;94637.0000000;94601.0000000;94613.0000000;4542
20230921;103600;94613.0000000;94625.0000000;94577.0000000;94595.0000000;5236
20230921;103700;94591.0000000;94600.0000000;94539.0000000;94544.0000000;4265
20230921;103800;94542.0000000;94548.0000000;94500.0000000;94520.0000000;5149
20230921;103900;94519.0000000;94600.0000000;94519.0000000;94589.0000000;3644
20230921;104000;94588.0000000;94591.0000000;94484.0000000;94494.0000000;10292
20230921;104100;94497.0000000;94548.0000000;94471.0000000;94546.0000000;8244
20230921;104200;94547.0000000;94572.0000000;94536.0000000;94546.0000000;1446
20230921;104300;94544.0000000;94544.0000000;94512.0000000;94532.0000000;1689
20230921;104400;94534.0000000;94564.0000000;94531.0000000;94550.0000000;2766
20230921;104500;94548.0000000;94550.0000000;94500.0000000;94516.0000000;2439
20230921;104600;94514.0000000;94554.0000000;94483.0000000;94541.0000000;2222
20230921;104700;94543.0000000;94579.0000000;94543.0000000;94572.0000000;1579
20230921;104800;94568.0000000;94588.0000000;94558.0000000;94581.0000000;1269
20230921;104900;94581.0000000;94593.0000000;94569.0000000;94583.0000000;1245
20230921;105000;94580.0000000;94582.0000000;94541.0000000;94548.0000000;1282
20230921;105100;94554.0000000;94569.0000000;94540.0000000;94541.0000000;1552
20230921;105200;94540.0000000;94550.0000000;94517.0000000;94543.0000000;8396
20230921;105300;94542.0000000;94649.0000000;94533.0000000;94627.0000000;6292
20230921;105400;94628.0000000;94645.0000000;94615.0000000;94640.0000000;1232
20230921;105500;94640.0000000;94696.0000000;94639.0000000;94670.0000000;2243
20230921;105600;94669.0000000;94697.0000000;94669.0000000;94686.0000000;822
20230921;105700;94686.0000000;94704.0000000;94680.0000000;94700.0000000;1190
20230921;105800;94703.0000000;94717.0000000;94698.0000000;94714.0000000;1213
20230921;105900;94713.0000000;94742.0000000;94711.0000000;94714.0000000;1797
20230921;110000;94714.0000000;94718.0000000;94681.0000000;94688.0000000;2048
20230921;110100;94688.0000000;94689.0000000;94617.0000000;94627.0000000;2368
20230921;110200;94624.0000000;94632.0000000;94593.0000000;94623.0000000;1933
20230921;110300;94617.0000000;94617.0000000;94597.0000000;94597.0000000;954
