<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230316;095800;75859.0000000;75859.0000000;75850.0000000;75851.0000000;69
20230316;095900;75850.0000000;75853.0000000;75834.0000000;75841.0000000;499
20230316;100000;75841.0000000;75841.0000000;75790.0000000;75797.0000000;1543
20230316;100100;75802.0000000;75841.0000000;75790.0000000;75833.0000000;1301
20230316;100200;75832.0000000;75835.0000000;75820.0000000;75821.0000000;379
20230316;100300;75821.0000000;75847.0000000;75820.0000000;75841.0000000;809
20230316;100400;75841.0000000;75848.0000000;75827.0000000;75835.0000000;393
20230316;100500;75835.0000000;75849.0000000;75819.0000000;75819.0000000;1463
20230316;100600;75819.0000000;75827.0000000;75818.0000000;75824.0000000;376
20230316;100700;75820.0000000;75822.0000000;75803.0000000;75803.0000000;702
20230316;100800;75802.0000000;75802.0000000;75772.0000000;75775.0000000;2441
20230316;100900;75774.0000000;75776.0000000;75710.0000000;75722.0000000;3319
20230316;101000;75722.0000000;75722.0000000;75710.0000000;75717.0000000;3117
20230316;101100;75718.0000000;75722.0000000;75651.0000000;75715.0000000;3873
20230316;101200;75714.0000000;75715.0000000;75700.0000000;75712.0000000;991
20230316;101300;75711.0000000;75740.0000000;75702.0000000;75738.0000000;1239
20230316;101400;75739.0000000;75840.0000000;75739.0000000;75814.0000000;2813
20230316;101500;75813.0000000;75896.0000000;75811.0000000;75891.0000000;4099
20230316;101600;75891.0000000;75900.0000000;75885.0000000;75900.0000000;3223
20230316;101700;75900.0000000;75982.0000000;75900.0000000;75949.0000000;6649
20230316;101800;75949.0000000;75955.0000000;75916.0000000;75945.0000000;3449
20230316;101900;75946.0000000;75987.0000000;75925.0000000;75979.0000000;1944
20230316;102000;75980.0000000;75994.0000000;75930.0000000;75930.0000000;3365
20230316;102100;75930.0000000;75968.0000000;75925.0000000;75957.0000000;1278
20230316;102200;75957.0000000;75960.0000000;75926.0000000;75933.0000000;1241
20230316;102300;75932.0000000;75933.0000000;75881.0000000;75882.0000000;2449
20230316;102400;75882.0000000;75887.0000000;75863.0000000;75887.0000000;1815
20230316;102500;75883.0000000;75913.0000000;75870.0000000;75913.0000000;2072
20230316;102600;75913.0000000;75920.0000000;75890.0000000;75898.0000000;2481
20230316;102700;75899.0000000;75900.0000000;75891.0000000;75900.0000000;1123
20230316;102800;75897.0000000;75900.0000000;75896.0000000;75900.0000000;844
20230316;102900;75900.0000000;75919.0000000;75893.0000000;75904.0000000;1988
20230316;103000;75907.0000000;75910.0000000;75891.0000000;75895.0000000;1733
20230316;103100;75895.0000000;75908.0000000;75895.0000000;75905.0000000;903
