<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220616;102900;61889.0000000;61967.0000000;61882.0000000;61925.0000000;3431
20220616;103000;61918.0000000;62072.0000000;61914.0000000;62003.0000000;6189
20220616;103100;62013.0000000;62021.0000000;61935.0000000;61938.0000000;2333
20220616;103200;61935.0000000;62026.0000000;61933.0000000;62019.0000000;2591
20220616;103300;62025.0000000;62178.0000000;62019.0000000;62066.0000000;5995
20220616;103400;62072.0000000;62090.0000000;61995.0000000;61995.0000000;2687
20220616;103500;61995.0000000;62015.0000000;61933.0000000;61933.0000000;2865
20220616;103600;61934.0000000;61934.0000000;61818.0000000;61833.0000000;5955
20220616;103700;61829.0000000;61892.0000000;61810.0000000;61882.0000000;3280
20220616;103800;61889.0000000;61890.0000000;61871.0000000;61884.0000000;537
20220616;103900;61885.0000000;61985.0000000;61884.0000000;61968.0000000;3166
20220616;104000;61964.0000000;61989.0000000;61915.0000000;61933.0000000;2733
20220616;104100;61929.0000000;61947.0000000;61929.0000000;61943.0000000;842
20220616;104200;61940.0000000;61955.0000000;61871.0000000;61952.0000000;4140
20220616;104300;61954.0000000;62067.0000000;61952.0000000;62006.0000000;3521
20220616;104400;62007.0000000;62088.0000000;62005.0000000;62084.0000000;2047
20220616;104500;62086.0000000;62185.0000000;62083.0000000;62096.0000000;4946
20220616;104600;62097.0000000;62130.0000000;62075.0000000;62084.0000000;2778
20220616;104700;62076.0000000;62092.0000000;62036.0000000;62058.0000000;2333
20220616;104800;62052.0000000;62182.0000000;62052.0000000;62182.0000000;5524
20220616;104900;62176.0000000;62176.0000000;62098.0000000;62120.0000000;2065
20220616;105000;62110.0000000;62229.0000000;62107.0000000;62215.0000000;4217
20220616;105100;62217.0000000;62253.0000000;62185.0000000;62194.0000000;3058
20220616;105200;62196.0000000;62197.0000000;62146.0000000;62182.0000000;1972
20220616;105300;62184.0000000;62279.0000000;62184.0000000;62276.0000000;3826
20220616;105400;62273.0000000;62296.0000000;62220.0000000;62233.0000000;3516
20220616;105500;62227.0000000;62339.0000000;62225.0000000;62309.0000000;4936
20220616;105600;62303.0000000;62378.0000000;62302.0000000;62343.0000000;3916
20220616;105700;62342.0000000;62362.0000000;62283.0000000;62283.0000000;3627
20220616;105800;62285.0000000;62324.0000000;62283.0000000;62312.0000000;1442
20220616;105900;62311.0000000;62428.0000000;62301.0000000;62426.0000000;6097
20220616;110000;62417.0000000;62569.0000000;62417.0000000;62554.0000000;17040
20220616;110100;62553.0000000;62700.0000000;62550.0000000;62595.0000000;17043
20220616;110200;62594.0000000;62698.0000000;62550.0000000;62668.0000000;11320
20220616;110300;62655.0000000;62796.0000000;62642.0000000;62750.0000000;18215
20220616;110400;62750.0000000;62781.0000000;62680.0000000;62688.0000000;8436
20220616;110500;62688.0000000;62733.0000000;62686.0000000;62725.0000000;5318
20220616;110600;62724.0000000;62743.0000000;62613.0000000;62620.0000000;7032
20220616;110700;62619.0000000;62682.0000000;62610.0000000;62632.0000000;4773
20220616;110800;62641.0000000;62676.0000000;62632.0000000;62633.0000000;2851
20220616;110900;62633.0000000;62676.0000000;62632.0000000;62651.0000000;3126
20220616;111000;62651.0000000;62684.0000000;62555.0000000;62566.0000000;6807
20220616;111100;62561.0000000;62629.0000000;62560.0000000;62616.0000000;4650
20220616;111200;62625.0000000;62631.0000000;62550.0000000;62551.0000000;4217
20220616;111300;62551.0000000;62558.0000000;62510.0000000;62514.0000000;2850
20220616;111400;62514.0000000;62579.0000000;62464.0000000;62565.0000000;7664
20220616;111500;62566.0000000;62843.0000000;62562.0000000;62817.0000000;14223
20220616;111600;62814.0000000;62820.0000000;62761.0000000;62773.0000000;6579
20220616;111700;62773.0000000;62850.0000000;62761.0000000;62761.0000000;7125
20220616;111800;62768.0000000;62835.0000000;62761.0000000;62764.0000000;5983
20220616;111900;62764.0000000;62767.0000000;62635.0000000;62666.0000000;5095
20220616;112000;62665.0000000;62779.0000000;62647.0000000;62647.0000000;5165
20220616;112100;62647.0000000;62721.0000000;62611.0000000;62622.0000000;4164
20220616;112200;62615.0000000;62694.0000000;62565.0000000;62583.0000000;4989
20220616;112300;62584.0000000;62668.0000000;62572.0000000;62637.0000000;2358
20220616;112400;62639.0000000;62748.0000000;62632.0000000;62710.0000000;4134
20220616;112500;62714.0000000;62780.0000000;62694.0000000;62703.0000000;4850
20220616;112600;62701.0000000;62724.0000000;62652.0000000;62656.0000000;2764
20220616;112700;62656.0000000;62697.0000000;62646.0000000;62667.0000000;1894
20220616;112800;62671.0000000;62779.0000000;62659.0000000;62696.0000000;5960
20220616;112900;62695.0000000;62767.0000000;62646.0000000;62654.0000000;3145
20220616;113000;62661.0000000;62715.0000000;62661.0000000;62665.0000000;4170
20220616;113100;62666.0000000;62711.0000000;62620.0000000;62629.0000000;3799
20220616;113200;62627.0000000;62670.0000000;62609.0000000;62627.0000000;4067
20220616;113300;62626.0000000;62646.0000000;62619.0000000;62635.0000000;1844
20220616;113400;62628.0000000;62649.0000000;62621.0000000;62631.0000000;2161
20220616;113500;62630.0000000;62797.0000000;62630.0000000;62690.0000000;5687
20220616;113600;62693.0000000;62730.0000000;62690.0000000;62710.0000000;2166
20220616;113700;62710.0000000;62710.0000000;62659.0000000;62700.0000000;2829
20220616;113800;62700.0000000;62700.0000000;62600.0000000;62600.0000000;4657
20220616;113900;62601.0000000;62630.0000000;62520.0000000;62520.0000000;8913
