<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220504;100000;72503.0000000;72503.0000000;70061.0000000;70380.0000000;38009
20220504;100100;70371.0000000;70500.0000000;69940.0000000;70270.0000000;28026
20220504;100200;70270.0000000;70578.0000000;70265.0000000;70558.0000000;16074
20220504;100300;70531.0000000;70780.0000000;70440.0000000;70699.0000000;10598
20220504;100400;70700.0000000;70944.0000000;70584.0000000;70929.0000000;10872
20220504;100500;70933.0000000;71027.0000000;70700.0000000;70763.0000000;13477
20220504;100600;70760.0000000;70888.0000000;70600.0000000;70612.0000000;9170
20220504;100700;70613.0000000;70724.0000000;70515.0000000;70627.0000000;7567
20220504;100800;70625.0000000;70700.0000000;70405.0000000;70450.0000000;7763
20220504;100900;70446.0000000;70640.0000000;70435.0000000;70626.0000000;6996
20220504;101000;70634.0000000;70840.0000000;70551.0000000;70840.0000000;10718
20220504;101100;70838.0000000;70850.0000000;70728.0000000;70849.0000000;5752
20220504;101200;70845.0000000;71120.0000000;70843.0000000;71025.0000000;9234
20220504;101300;71038.0000000;71200.0000000;71029.0000000;71147.0000000;10153
20220504;101400;71149.0000000;71275.0000000;71071.0000000;71084.0000000;9949
20220504;101500;71087.0000000;71299.0000000;71083.0000000;71255.0000000;7646
20220504;101600;71266.0000000;71455.0000000;71263.0000000;71426.0000000;7228
20220504;101700;71433.0000000;71635.0000000;71363.0000000;71620.0000000;13796
20220504;101800;71611.0000000;71777.0000000;71488.0000000;71685.0000000;16018
20220504;101900;71685.0000000;71750.0000000;71567.0000000;71650.0000000;11814
20220504;102000;71650.0000000;71736.0000000;71450.0000000;71629.0000000;13531
20220504;102100;71629.0000000;71837.0000000;71598.0000000;71801.0000000;12800
20220504;102200;71804.0000000;71850.0000000;71602.0000000;71662.0000000;13113
20220504;102300;71656.0000000;71689.0000000;71440.0000000;71622.0000000;10823
20220504;102400;71622.0000000;71699.0000000;71531.0000000;71660.0000000;5937
20220504;102500;71664.0000000;71724.0000000;71450.0000000;71643.0000000;8370
20220504;102600;71639.0000000;71670.0000000;71432.0000000;71501.0000000;5705
20220504;102700;71509.0000000;71600.0000000;71437.0000000;71548.0000000;6585
