<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20221215;093300;65287.0000000;65299.0000000;65278.0000000;65292.0000000;680
20221215;093400;65293.0000000;65297.0000000;65284.0000000;65291.0000000;269
20221215;093500;65291.0000000;65300.0000000;65289.0000000;65299.0000000;522
20221215;093600;65299.0000000;65300.0000000;65294.0000000;65295.0000000;276
20221215;093700;65295.0000000;65300.0000000;65295.0000000;65300.0000000;284
20221215;093800;65300.0000000;65300.0000000;65292.0000000;65292.0000000;388
20221215;093900;65298.0000000;65300.0000000;65288.0000000;65288.0000000;410
20221215;094000;65293.0000000;65293.0000000;65282.0000000;65282.0000000;234
20221215;094100;65282.0000000;65285.0000000;65241.0000000;65249.0000000;1090
20221215;094200;65246.0000000;65259.0000000;65241.0000000;65251.0000000;340
20221215;094300;65254.0000000;65288.0000000;65251.0000000;65256.0000000;730
20221215;094400;65255.0000000;65268.0000000;65250.0000000;65267.0000000;775
20221215;094500;65267.0000000;65275.0000000;65262.0000000;65268.0000000;433
20221215;094600;65268.0000000;65273.0000000;65257.0000000;65258.0000000;283
20221215;094700;65258.0000000;65265.0000000;65253.0000000;65254.0000000;338
20221215;094800;65254.0000000;65263.0000000;65242.0000000;65244.0000000;1398
20221215;094900;65247.0000000;65260.0000000;65244.0000000;65259.0000000;520
20221215;095000;65259.0000000;65261.0000000;65249.0000000;65259.0000000;292
20221215;095100;65259.0000000;65260.0000000;65241.0000000;65241.0000000;276
20221215;095200;65246.0000000;65248.0000000;65222.0000000;65237.0000000;987
20221215;095300;65228.0000000;65238.0000000;65144.0000000;65153.0000000;3880
20221215;095400;65152.0000000;65160.0000000;65113.0000000;65124.0000000;1448
20221215;095500;65121.0000000;65127.0000000;65077.0000000;65089.0000000;1885
20221215;095600;65089.0000000;65244.0000000;65084.0000000;65233.0000000;2720
20221215;095700;65232.0000000;65232.0000000;65190.0000000;65194.0000000;611
20221215;095800;65194.0000000;65211.0000000;65192.0000000;65198.0000000;550
20221215;095900;65198.0000000;65198.0000000;65159.0000000;65171.0000000;1162
20221215;100000;65180.0000000;65183.0000000;65112.0000000;65139.0000000;1045
20221215;100100;65139.0000000;65146.0000000;65035.0000000;65097.0000000;6372
20221215;100200;65097.0000000;65173.0000000;65075.0000000;65172.0000000;3015
20221215;100300;65172.0000000;65184.0000000;65161.0000000;65177.0000000;1201
20221215;100400;65171.0000000;65198.0000000;65170.0000000;65195.0000000;696
20221215;100500;65195.0000000;65199.0000000;65173.0000000;65180.0000000;603
20221215;100600;65180.0000000;65184.0000000;65163.0000000;65183.0000000;1113
20221215;100700;65179.0000000;65197.0000000;65176.0000000;65186.0000000;1549
20221215;100800;65187.0000000;65187.0000000;65136.0000000;65145.0000000;1792
20221215;100900;65145.0000000;65179.0000000;65141.0000000;65172.0000000;1536
20221215;101000;65173.0000000;65177.0000000;65152.0000000;65159.0000000;1641
20221215;101100;65160.0000000;65170.0000000;65153.0000000;65154.0000000;325
20221215;101200;65152.0000000;65155.0000000;65114.0000000;65123.0000000;989
20221215;101300;65124.0000000;65149.0000000;65111.0000000;65135.0000000;1722
20221215;101400;65138.0000000;65170.0000000;65130.0000000;65162.0000000;1060
20221215;101500;65165.0000000;65207.0000000;65165.0000000;65197.0000000;3479
20221215;101600;65197.0000000;65222.0000000;65192.0000000;65210.0000000;1753
20221215;101700;65211.0000000;65216.0000000;65182.0000000;65184.0000000;3405
20221215;101800;65184.0000000;65184.0000000;65143.0000000;65149.0000000;2659
20221215;101900;65150.0000000;65168.0000000;65145.0000000;65160.0000000;922
20221215;102000;65158.0000000;65173.0000000;65143.0000000;65173.0000000;796
20221215;102100;65172.0000000;65174.0000000;65155.0000000;65165.0000000;850
20221215;102200;65164.0000000;65169.0000000;65058.0000000;65085.0000000;6598
20221215;102300;65088.0000000;65138.0000000;65082.0000000;65138.0000000;9713
20221215;102400;65136.0000000;65171.0000000;65103.0000000;65113.0000000;1627
20221215;102500;65110.0000000;65136.0000000;65095.0000000;65118.0000000;1385
20221215;102600;65118.0000000;65150.0000000;65115.0000000;65137.0000000;925
20221215;102700;65137.0000000;65140.0000000;65116.0000000;65140.0000000;502
20221215;102800;65139.0000000;65155.0000000;65134.0000000;65148.0000000;638
20221215;102900;65148.0000000;65149.0000000;65080.0000000;65102.0000000;2773
20221215;103000;65102.0000000;65140.0000000;65102.0000000;65129.0000000;1010
20221215;103100;65129.0000000;65140.0000000;65113.0000000;65120.0000000;585
20221215;103200;65117.0000000;65129.0000000;65117.0000000;65126.0000000;310
20221215;103300;65125.0000000;65129.0000000;65078.0000000;65099.0000000;4073
20221215;103400;65099.0000000;65120.0000000;65095.0000000;65119.0000000;9740
20221215;103500;65119.0000000;65139.0000000;65112.0000000;65127.0000000;1407
20221215;103600;65126.0000000;65148.0000000;65126.0000000;65146.0000000;884
20221215;103700;65146.0000000;65169.0000000;65142.0000000;65168.0000000;1084
20221215;103800;65167.0000000;65180.0000000;65163.0000000;65180.0000000;2128
20221215;103900;65178.0000000;65187.0000000;65175.0000000;65180.0000000;1831
20221215;104000;65181.0000000;65192.0000000;65146.0000000;65150.0000000;2281
20221215;104100;65147.0000000;65154.0000000;65127.0000000;65151.0000000;2390
20221215;104200;65151.0000000;65167.0000000;65146.0000000;65162.0000000;734
20221215;104300;65162.0000000;65169.0000000;65144.0000000;65157.0000000;981
20221215;104400;65158.0000000;65163.0000000;65140.0000000;65140.0000000;1114
20221215;104500;65139.0000000;65150.0000000;65135.0000000;65150.0000000;1065
20221215;104600;65149.0000000;65169.0000000;65149.0000000;65168.0000000;1719
20221215;104700;65169.0000000;65178.0000000;65168.0000000;65169.0000000;802
20221215;104800;65169.0000000;65200.0000000;65167.0000000;65200.0000000;2221
20221215;104900;65200.0000000;65217.0000000;65195.0000000;65215.0000000;1462
20221215;105000;65215.0000000;65238.0000000;65215.0000000;65235.0000000;2047
20221215;105100;65235.0000000;65250.0000000;65235.0000000;65238.0000000;1347
20221215;105200;65237.0000000;65263.0000000;65234.0000000;65252.0000000;2074
20221215;105300;65250.0000000;65265.0000000;65247.0000000;65262.0000000;1351
20221215;105400;65262.0000000;65275.0000000;65259.0000000;65271.0000000;2468
20221215;105500;65270.0000000;65280.0000000;65243.0000000;65264.0000000;2154
20221215;105600;65263.0000000;65297.0000000;65263.0000000;65294.0000000;2992
20221215;105700;65292.0000000;65306.0000000;65282.0000000;65295.0000000;3312
20221215;105800;65291.0000000;65319.0000000;65287.0000000;65310.0000000;3592
20221215;105900;65315.0000000;65342.0000000;65313.0000000;65330.0000000;2201
20221215;110000;65330.0000000;65355.0000000;65330.0000000;65351.0000000;3361
20221215;110100;65350.0000000;65353.0000000;65311.0000000;65323.0000000;3316
20221215;110200;65322.0000000;65323.0000000;64611.0000000;64776.0000000;44986
20221215;110300;64786.0000000;64990.0000000;64600.0000000;64981.0000000;33032
20221215;110400;64981.0000000;65062.0000000;64962.0000000;65060.0000000;9083
20221215;110500;65060.0000000;65134.0000000;65024.0000000;65112.0000000;5993
20221215;110600;65113.0000000;65166.0000000;65111.0000000;65165.0000000;4596
20221215;110700;65166.0000000;65166.0000000;65135.0000000;65140.0000000;3027
20221215;110800;65138.0000000;65182.0000000;65125.0000000;65177.0000000;1355
20221215;110900;65176.0000000;65221.0000000;65175.0000000;65219.0000000;2416
20221215;111000;65215.0000000;65224.0000000;65165.0000000;65165.0000000;2533
20221215;111100;65164.0000000;65194.0000000;65164.0000000;65178.0000000;1785
20221215;111200;65178.0000000;65211.0000000;65177.0000000;65206.0000000;2128
20221215;111300;65207.0000000;65210.0000000;65155.0000000;65161.0000000;1974
20221215;111400;65161.0000000;65178.0000000;65149.0000000;65177.0000000;1409
20221215;111500;65177.0000000;65217.0000000;65177.0000000;65206.0000000;1505
20221215;111600;65206.0000000;65206.0000000;65129.0000000;65170.0000000;2914
20221215;111700;65170.0000000;65171.0000000;65158.0000000;65159.0000000;863
20221215;111800;65159.0000000;65161.0000000;65110.0000000;65122.0000000;1690
20221215;111900;65120.0000000;65134.0000000;65110.0000000;65131.0000000;1436
20221215;112000;65133.0000000;65156.0000000;65121.0000000;65152.0000000;2345
20221215;112100;65151.0000000;65185.0000000;65150.0000000;65182.0000000;1024
20221215;112200;65182.0000000;65212.0000000;65182.0000000;65208.0000000;795
20221215;112300;65208.0000000;65208.0000000;65185.0000000;65197.0000000;891
20221215;112400;65198.0000000;65198.0000000;65130.0000000;65143.0000000;3176
20221215;112500;65148.0000000;65154.0000000;65127.0000000;65137.0000000;599
20221215;112600;65134.0000000;65137.0000000;65124.0000000;65131.0000000;424
20221215;112700;65130.0000000;65133.0000000;65082.0000000;65094.0000000;2778
20221215;112800;65096.0000000;65099.0000000;65071.0000000;65086.0000000;2326
20221215;112900;65087.0000000;65100.0000000;65078.0000000;65100.0000000;2215
20221215;113000;65099.0000000;65155.0000000;65090.0000000;65155.0000000;2321
20221215;113100;65152.0000000;65158.0000000;65134.0000000;65155.0000000;2166
20221215;113200;65155.0000000;65164.0000000;65096.0000000;65122.0000000;2469
20221215;113300;65118.0000000;65155.0000000;65100.0000000;65142.0000000;912
20221215;113400;65141.0000000;65179.0000000;65130.0000000;65175.0000000;1189
20221215;113500;65173.0000000;65180.0000000;65152.0000000;65158.0000000;1110
